Brand;Product;SKU;Price;Description1;Description2;Description3;Description4;Img_link;Category;Season;Color;Material;Country;Size
Ikoc;990-1;506;1550;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/63-ikoc-990-1.gif;Ботинки;Осень/весна;Черный;Кожа;Украина;41|42|43|
Ikoc;2055-1;507;1550;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/64-ikoc-2055-1.gif;Ботинки;Осень/весна;Черный;Кожа;Украина;41|
Ikoc;10-86-1;508;1795;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/65-ikoc-10-86-1.gif;Ботинки;Осень/весна;Черный;Кожа;Украина;41|42|43|
Carlo pachini;1446;701;895;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: синий;http://menshoes.in.ua/wp-content/uploads/202-carlo-pachini-1446.jpg;Туфли;Осень/весна;Синий;Кожа;Украина;40|42|43|44|45|
Devis;5722-10;801;2300;Сезон: осень/весна;Материал: кожа;Страна: Турция;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/177-devis-5722-10.jpg;Ботинки;Осень/весна;Черный;Кожа;Турция;41|42|44|
Devis;5474-3;802;2300;Сезон: осень/весна;Материал: кожа;Страна: Турция;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/178-devis-5474-3.jpg;Ботинки;Осень/весна;Черный;Кожа;Турция;41|44|
Devis;1504-33;803;1250;Сезон: осень/весна;Материал: кожа;Страна: Турция;Цвет: синий;http://menshoes.in.ua/wp-content/uploads/185-devis-1504-33.jpg;Мокасины;Осень/весна;Синий;Кожа;Турция;41|42|43|
Devis;1589-33;804;1150;Сезон: осень/весна;Материал: замша;Страна: Турция;Цвет: синий;http://menshoes.in.ua/wp-content/uploads/186-devis-1589-33.jpg;Мокасины;Осень/весна;Синий;Замша;Турция;41|42|44|
Devis;8930-02;805;1150;Сезон: зима;Материал: кожа;Страна: Турция;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/187-devis-8930-02.jpg;Мокасины;Зима;Черный;Кожа;Турция;42|43|44|
Devis;378-33;806;1150;Сезон: осень/весна;Материал: кожа;Страна: Турция;Цвет: синий;http://menshoes.in.ua/wp-content/uploads/188-devis-378-33.jpg;Мокасины;Осень/весна;Синий;Кожа;Турция;44|
Devis;1292-3;807;1150;Сезон: осень/весна;Материал: кожа;Страна: Турция;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/189-devis-1292-3.jpg;Туфли;Осень/весна;Черный;Кожа;Турция;41|43|
Devis;2251-3;808;1150;Сезон: осень/весна;Материал: кожа;Страна: Турция;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/190-devis-2251-3.jpg;Туфли;Осень/весна;Черный;Кожа;Турция;40|41|42|43|44|
Devis;1501-5;809;1250;Сезон: осень/весна;Материал: кожа;Страна: Турция;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/191-devis-1501-5.jpg;Мокасины;Осень/весна;Черный;Кожа;Турция;41|42|43|
Esse;5025-30-11;901;1595;Сезон: осень/весна;Материал: кожа;Страна: Польша;Цвет: коричневый;http://menshoes.in.ua/wp-content/uploads/192-esse-5025-30-11.jpg;Туфли;Осень/весна;Коричневый;Кожа;Польша;40|44|
